,Anno,Regione,Affluenza
0,1948,Abruzzo,0.9144146961797145
1,1948,Basilicata,0.9229512893519005
2,1948,Calabria,0.88538514499933
3,1948,Campania,0.8898135503027452
4,1948,Emilia-Romagna,0.9517215587770447
5,1948,Friuli-Venezia Giulia,0.9022868999475647
6,1948,Lazio,0.8923234158880744
7,1948,Liguria,0.9114510890200885
8,1948,Lombardia,0.9404190279195666
9,1948,Marche,0.9456344714356097
10,1948,Molise,0.928111914731633
11,1948,Piemonte,0.9259340733832615
12,1948,Puglia,0.9322023367956086
13,1948,Sardegna,0.9046153080604096
14,1948,Sicilia,0.8792683784557727
15,1948,Toscana,0.9452579161891268
16,1948,Umbria,0.9402946760770171
17,1948,Valle d'Aosta,0.8456631731116733
18,1948,Veneto,0.9335182768893601
19,1953,Abruzzo,0.9101367053074405
20,1953,Basilicata,0.9341351642990926
21,1953,Calabria,0.8995551716750788
22,1953,Campania,0.9243976652273258
23,1953,Emilia-Romagna,0.9631932144833102
24,1953,Friuli-Venezia Giulia,0.8890975947866803
25,1953,Lazio,0.9386098230168819
26,1953,Liguria,0.9354916683897079
27,1953,Lombardia,0.9564899084402841
28,1953,Marche,0.9569458812264587
29,1953,Molise,0.9101367053074405
30,1953,Piemonte,0.939522077441912
31,1953,Puglia,0.9477162159424942
32,1953,Sardegna,0.9198529288632862
33,1953,Sicilia,0.9018989524699474
34,1953,Toscana,0.9592821693479434
35,1953,Trentino-Alto Adige,0.9443713802477817
36,1953,Umbria,0.9570236473745802
37,1953,Valle d'Aosta,0.8626213676852545
38,1953,Veneto,0.9403592159313728
39,1958,Abruzzo,0.8836341815345086
40,1958,Basilicata,0.9245181864013464
41,1958,Calabria,0.8879004423820857
42,1958,Campania,0.9210531276155287
43,1958,Emilia-Romagna,0.9658771484623543
44,1958,Friuli-Venezia Giulia,0.8868294031441232
45,1958,Lazio,0.9463226504495252
46,1958,Liguria,0.9417240428418157
47,1958,Lombardia,0.9605899226350622
48,1958,Marche,0.9529182756295769
49,1958,Molise,0.8836341815345086
50,1958,Piemonte,0.9527629319707684
51,1958,Puglia,0.9438051267195745
52,1958,Sardegna,0.9270533725566991
53,1958,Sicilia,0.9054316392144159
54,1958,Toscana,0.9630844569848462
55,1958,Trentino-Alto Adige,0.9488329645925252
56,1958,Umbria,0.9546974679815199
57,1958,Valle d'Aosta,0.91973934643053
58,1958,Veneto,0.9422621268773955
59,1963,Abruzzo,0.8573581535209879
60,1963,Basilicata,0.893982491956775
61,1963,Calabria,0.8632832437591086
62,1963,Campania,0.899659056172261
63,1963,Emilia-Romagna,0.9665431641054506
64,1963,Friuli-Venezia Giulia,0.9090589092571286
65,1963,Lazio,0.9401542078527997
66,1963,Liguria,0.9379440186612554
67,1963,Lombardia,0.9615848393834844
68,1963,Marche,0.9456403784898102
69,1963,Molise,0.8573581535209879
70,1963,Piemonte,0.9533529098331178
71,1963,Puglia,0.9236500881120617
