,Professione,Senatori,anno
13,Altra professione intellettuale o scientifica,4,1976
14,Imprenditore,4,1976
15,Industriale,4,1976
16,Amministratore o manager,3,1976
17,Tecnico,3,1976
18,Agente o rappresentante,2,1976
19,Agricoltore,2,1976
20,Artista o professionista dello spettacolo,2,1976
21,Consulente,2,1976
22,Notaio,2,1976
23,Artigiano,1,1976
24,Commerciante,1,1976
25,Farmacista,1,1976
26,Militare di carriera,1,1976
0,Avvocato,51,1979
1,Impiegato,36,1979
2,Insegnante,33,1979
3,Dirigente,30,1979
4,Giornalista,23,1979
5,Docente universitario,20,1979
6,Funzionario di partito,18,1979
7,Medico,15,1979
8,Pubblicista,15,1979
9,Sindacalista o esponente di associazione,14,1979
10,Operaio,10,1979
11,Ingegnere,7,1979
12,Tecnico,7,1979
13,Imprenditore,6,1979
14,Magistrato,6,1979
15,Altra professione intellettuale o scientifica,3,1979
16,Consulente,3,1979
17,Notaio,3,1979
18,Ragioniere,3,1979
19,Agente o rappresentante,2,1979
20,Agricoltore,2,1979
21,Artista o professionista dello spettacolo,2,1979
22,Commercialista,2,1979
23,Industriale,2,1979
24,Amministratore o manager,1,1979
25,Assicuratore,1,1979
26,Farmacista,1,1979
27,Militare di carriera,1,1979
0,Avvocato,57,1983
1,Docente universitario,40,1983
2,Insegnante,33,1983
3,Impiegato,28,1983
4,Dirigente,27,1983
5,Medico,22,1983
6,Giornalista,20,1983
7,Pubblicista,14,1983
8,Funzionario di partito,12,1983
9,Ingegnere,10,1983
10,Sindacalista o esponente di associazione,10,1983
11,Imprenditore,9,1983
12,Tecnico,7,1983
13,Altra professione intellettuale o scientifica,6,1983
14,Magistrato,5,1983
15,Agricoltore,4,1983
16,Operaio,4,1983
17,Consulente,3,1983
18,Ragioniere,3,1983
19,Agente o rappresentante,2,1983
20,Commercialista,2,1983
21,Amministratore locale,1,1983
22,Amministratore o manager,1,1983
23,Architetto,1,1983
24,Assicuratore,1,1983
25,Commerciante,1,1983
26,Industriale,1,1983
27,Militare di carriera,1,1983
28,Notaio,1,1983
0,Avvocato,54,1987
1,Docente universitario,46,1987
2,Dirigente,40,1987
3,Impiegato,26,1987
4,Insegnante,26,1987
5,Giornalista,23,1987
6,Imprenditore,13,1987
7,Medico,12,1987
8,Pubblicista,12,1987
9,Funzionario di partito,10,1987
10,Sindacalista o esponente di associazione,8,1987
11,Altra professione intellettuale o scientifica,7,1987
12,Magistrato,7,1987
13,Ingegnere,5,1987
14,Tecnico,5,1987
15,Agricoltore,4,1987
16,Commercialista,4,1987
17,Consulente,3,1987
18,Militare di carriera,3,1987
19,Ricercatore,3,1987
20,Architetto,2,1987
21,Artista o professionista dello spettacolo,2,1987
22,Assicuratore,2,1987
23,Farmacista,2,1987
24,Industriale,2,1987
25,Operaio,2,1987
26,Amministratore locale,1,1987
27,Artigiano,1,1987
28,Notaio,1,1987
29,Ragioniere,1,1987
0,Avvocato,50,1992
1,Docente universitario,50,1992
2,Dirigente,43,1992
3,Insegnante,29,1992
4,Impiegato,28,1992
5,Medico,23,1992
6,Giornalista,14,1992
7,Imprenditore,11,1992
8,Pubblicista,11,1992
9,Commercialista,10,1992
10,Funzionario di partito,10,1992
11,Tecnico,9,1992
12,Altra professione intellettuale o scientifica,7,1992
13,Sindacalista o esponente di associazione,7,1992
14,Ingegnere,5,1992
15,Consulente,3,1992
16,Industriale,3,1992
17,Assicuratore,2,1992
18,Commerciante,2,1992
19,Magistrato,2,1992
20,Agente o rappresentante,1,1992
21,Appartenente alle forze dell'ordine e di sicurezza,1,1992
22,Architetto,1,1992
23,Artista o professionista dello spettacolo,1,1992
24,Farmacista,1,1992
25,Militare di carriera,1,1992
26,Notaio,1,1992
27,Operaio,1,1992
28,Ragioniere,1,1992
29,Ricercatore,1,1992
0,Docente universitario,58,1994
1,Avvocato,43,1994
2,Dirigente,32,1994
3,Imprenditore,29,1994
4,Insegnante,28,1994
5,Medico,27,1994
6,Impiegato,15,1994
7,Giornalista,14,1994
8,Commercialista,10,1994
9,Funzionario di partito,9,1994
10,Magistrato,8,1994
11,Consulente,7,1994
12,Ingegnere,7,1994
13,Tecnico,7,1994
14,Altra professione intellettuale o scientifica,6,1994
15,Sindacalista o esponente di associazione,5,1994
16,Industriale,4,1994
17,Amministratore o manager,3,1994
18,Artista o professionista dello spettacolo,3,1994
19,Assicuratore,3,1994
20,Militare di carriera,3,1994
21,Pubblicista,3,1994
22,Agente o rappresentante,2,1994
23,Agricoltore,2,1994
24,Operaio,2,1994
25,Appartenente alle forze dell'ordine e di sicurezza,1,1994
26,Architetto,1,1994
27,Commerciante,1,1994
28,Diplomatico,1,1994
29,Ricercatore,1,1994
0,Docente universitario,53,1996
1,Avvocato,50,1996
2,Dirigente,33,1996
3,Insegnante,26,1996
4,Medico,25,1996
5,Impiegato,24,1996
6,Giornalista,20,1996
7,Imprenditore,19,1996
8,Magistrato,12,1996
9,Funzionario di partito,10,1996
10,Consulente,6,1996
11,Altra professione intellettuale o scientifica,5,1996
12,Commercialista,5,1996
13,Pubblicista,5,1996
14,Sindacalista o esponente di associazione,5,1996
15,Architetto,4,1996
16,Ingegnere,4,1996
17,Industriale,3,1996
18,Militare di carriera,3,1996
